immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
extracellular transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466293496661481	0.409968053160617	0.336270104240506	0.303072375492455	0	0	0	0	0	0	0.409968053160617	0.385499088294935	0	0	0.248386986242042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364408714271064	0.354392906794029	0	0.28459887199368	0	0	0	0	0	0	0	0	0	0.287387081912285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273458948218002	0.288813399097999	0.962678967231774	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274653345217718	0	0.290371920476577	0.270455454061512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270455454061512	0	0	0	0	0.239738722172256	0	0	0	0	0.241977492815999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320336561739824	0.294943306262863	0	0	0	0	0	0	0	0.278278794065733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196682979744263	0	0	0	0	0	0
neurotransmitter secretion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480210039693063	0	0	0	0.494778344546731	0	0	0	0	0	0	0.972443539208051	0	0	0.419837961331347	0.37339172626729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.384095693940273	0.249339458253938	0	0	0.267294996495029	0.310076588336885	0	0.274784958117645	0	0.265878142221792	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897269938663758	0	0	0	0	0	0	0	0	0	0	0	0	0.2760607873642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phospholipid metabolic process	0	0	0	0	0	0.0570351102126966	0	0	0.0628651971485863	0	0.0649347015699634	0	0	0.0757109909301296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0629835400722353	0.0568175902355318	0	0.0541460799932108	0	0	0.0514952684556926	0.0445187161031496	0.0374403433117568	0.0539260436447481	0.0467261037276683	0	0	0	0	0	0	0	0.0466580010937859	0.0419763383296977	0.0429185631121875	0.0386676058460032	0	0	0	0	0	0	0.0372895554357042	0.0442631269061387	0.0366821212307409	0.0327612418930379	0.0453658975640369	0.0477431270936065	0	0	0	0	0.0349829794796827	0	0	0	0	0	0	0	0	0	0.0362330973312326	0.0382983294077649	0.0380712293396053	0.0375507086926371	0	0	0.0432221683221391	0	0.719246055744768	0.589110285386134	0.0407390903388997	0.0384859567148958	0.0465893758976383	0.0468893791017496	0.0319797885892274	0.0413085566335952	0.0366821212307409	0	0	0	0.0376944349238525	0.0314871033697647	0.0201726875965957	0	0.034288602368672	0	0	0	0	0	0.0341227572896752	0	0	0	0	0.981489246989756	0	0	0	0	0.0368094315782297	0.566434193927501	0.485632440618455	0.460492180328611	0.0316403895330901	0	0	0	0.0301685357052267	0	0	0.0293589492080975	0.0466677618064452	0	0	0	0.0297611623868278	0.028760296233496	0.0362330973312326	0	0	0.0340694173896665	0	0.0335943619899959	0.526610278609014	0	0.0326570579691794	0.0278223067967171	0.461841811451906	0.0261529669221427	0	0	0	0.0269958765811514	0	0	0.0212467056021757	0	0	0	0.0212467056021757	0	0	0	0	0	0	0	0	0.0404345993861506	0	0	0	0	0	0	0.394636679953127	0.372950350003574	0	0	0	0	0	0.0461350397459333	0	0	0	0	0	0	0.0273186201219404	0	0	0	0	0	0	0	0	0.0365072788660264	0.0366389708698713	0	0	0	0	0.0305999927180182	0.0330583484866109	0.028946429112283	0.0307805190250508	0	0.0295125514885404	0.0237787206336821	0	0	0	0
G-protein coupled receptor protein signaling pathway	0	0	0	0	0	0	0	0	0	0.265992809749538	0	0	0	0	0	0	0	0	0	0.449861194099762	0.191865887107788	0.461733082899473	0.721653576522585	0	0	0	0	0.171347999200747	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180649071502979	0.149234396151674	0.320874348583536	0	0	0	0	0	0	0	0	0.120964248636721	0.132279483224499	0.123376557345445	0	0.165016067542267	0.153057528169053	0	0	0	0	0	0	0	0	0	0.242705636524871	0	0	0	0	0.405984793088941	0.216040130812803	0.215210282646614	0	0.13126074219052	0.133608852042228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337795611928546	0.305187838066155	0	0	0	0	0	0	0	0	0	0.896184029233811	0	0	0.247591583226421	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451782014690727	0	0.209225732400766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193952669849811	0	0	0	0	0.417243703057569	0	0	0	0	0	0	0	0	0.137562540819055	0	0	0	0	0	0	0.172816754569068	0	0	0	0	0	0	0	0	0	0	0.221042157323867	0.206478221324357	0	0.0908086784819922	0	0	0	0	0	0	0	0	0	0	0	0	0.0968638872548678	0.0968638872548678	0	0	0	0	0	0	0	0	0	0	0.0811301861397051	0
sensory perception	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603707173746773	0	0	0	0.620700639060963	0	0	0	0	0	0	0.419837961331347	0	0	0.920865033247469	0.444017667495704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.459236354015166	0.277733632188688	0	0	0.545096783213686	0.357267929149596	0	0.562310573515665	0	0.541853847559538	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382295532806097	0	0	0	0	0	0	0	0	0	0	0	0	0.312851890818555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
visual perception	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537643500012657	0	0	0	0.532665444880894	0	0	0	0	0	0	0.37339172626729	0	0	0.444017667495704	0.952195531060924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.419980256871315	0.253529961913304	0	0	0.272895607434501	0.333049560688197	0	0.28102054396747	0	0.271361744891326	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342329013022594	0	0	0	0	0	0	0	0	0	0	0	0	0.294123093339144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcium-mediated signaling	0	0	0	0	0	0	0	0	0	0.165180263655602	0	0	0	0	0	0	0	0	0	0.291450154761866	0.133218484187899	0.299906001736315	0.269186569186116	0	0	0	0	0.122992633705075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1277125119707	0.111168424835366	0.729500466670762	0	0	0	0	0	0	0	0	0.0946844409513645	0.101479126788406	0.0961560706099446	0	0.119695859696705	0.1132761580031	0	0	0	0	0	0	0	0	0	0.591053621263624	0	0	0	0	0.175601285864996	0.53920591209143	0.537550950258631	0	0.10087849024751	0.10225967348236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239889810551593	0.222971351961323	0	0	0	0	0	0	0	0	0	0.247591583226421	0	0	0.983585934223926	0	0	0	0	0	0	0	0	0	0	0	0	0	0.190988835936245	0	0.16700799296769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.494264930156802	0	0	0	0	0.179449870198543	0	0	0	0	0	0	0	0	0.104559715950756	0	0	0	0	0	0	0.123747552615272	0	0	0	0	0	0	0	0	0	0	0.174452041673785	0.519979880754105	0	0.0751503650714854	0	0	0	0	0	0	0	0	0	0	0	0	0.0792502494043205	0.0792502494043205	0	0	0	0	0	0	0	0	0	0	0.0683977669920417	0
cyclic nucleotide metabolic process	0	0	0	0	0	0.0476083658721064	0	0	0.0496692500725153	0	0.0529892899838229	0	0	0.0599528513703959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.309271926438024	0.283983124805003	0	0.272743319833273	0	0	0.0436854596006739	0.038559249713504	0.0331336383649158	0.0454224040733887	0.040204293306738	0	0	0	0	0	0	0	0.240282556020538	0.219239199909142	0.223522206965013	0.204003227605962	0	0	0	0	0	0	0.0330154903916524	0.229592040197568	0.194711457531674	0.176024507213085	0.234533792391076	0.245076266320408	0	0	0	0	0.0304771583509227	0	0	0	0	0	0	0	0	0	0.192594317237831	0.202283627890976	0.201224163158513	0.198790260184395	0	0	0.0375827842868486	0	0.0436767620446339	0.0367833210846863	0.0356912128849421	0.203157833001043	0.0401030281452699	0.0403251121443999	0.0281722848413154	0.0361275442418878	0.194711457531674	0	0	0	0.0333324812428867	0.0277892309885758	0.0185880153036805	0	0.030641139613842	0	0	0	0	0	0.0298221849552813	0	0	0	0	0.0368094315782297	0	0	0	0	0.994249086443419	0.0355421577022444	0.0310180402529622	0.0295771762904544	0.0279085589893314	0	0	0	0.0267571086197914	0	0	0.0261183260776011	0.0401610934658997	0	0	0	0.0269741795018195	0.0256434684828935	0.0321846340472238	0	0	0.030465987063646	0	0.0300855469359357	0.0333324812428867	0	0.0293316170778949	0.0253716730460228	0.0296549379285566	0.0235500760587969	0	0	0	0.0242313673987647	0	0	0.0194961232635385	0	0	0	0.0194961232635385	0	0	0	0	0	0	0	0	0.0354572878297555	0	0	0	0	0	0	0.0257250742215571	0.0244313158232523	0	0	0	0	0	0.237961177177854	0	0	0	0	0	0	0.149314747173354	0	0	0	0	0	0	0	0	0.193887775090215	0.194508258616941	0	0	0	0	0.0276614473976384	0.177456500350461	0.157399384207705	0.166409622105964	0	0.0267697908697057	0.0216073558530387	0	0	0	0
fatty acid metabolic process	0	0	0	0	0	0.0540490540989185	0	0	0.0585267084079221	0	0.0610920656305699	0	0	0.0705379119199824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593619223608512	0.0538536752715595	0	0.0514477150054945	0	0	0.0490486729694198	0.0426782947183946	0.0361300283312336	0.0512490229372293	0.0447027964555846	0	0	0	0	0	0	0	0.0446404600775164	0.0403362484937048	0.0412055205244173	0.0372715824495219	0	0	0	0	0	0	0.0359895903424914	0.0424433452664253	0.035423448393314	0.0317535669583645	0.0434562663717844	0.0456327731280442	0	0	0	0	0.0335970778846455	0	0	0	0	0	0	0	0	0	0.035004534563062	0.0369283704519344	0.0367171820710502	0.0362327932834353	0	0	0.0414852943468842	0	0.685081542076812	0.565991654033811	0.0391924774458796	0.0371027841424888	0.0445776374225224	0.0448522152494666	0.0308176724917656	0.0397192466731105	0.035423448393314	0	0	0	0.0363665898773732	0.0303598878340755	0.0197039907295611	0	0.0331863602840567	0	0	0	0	0	0.0328028898481955	0	0	0	0	0.566434193927501	0	0	0	0	0.0355421577022444	0.98664110705086	0.850481602528841	0.807816045521289	0.0305023705477869	0	0	0	0.0291321973594633	0	0	0.0283765801929459	0.0446493948328687	0	0	0	0.0289272421699476	0.0278169377344351	0.035004534563062	0	0	0.0329809984563314	0	0.0325356130852105	0.508059613204727	0	0.0316556839034743	0.0270921695531394	0.810110166604176	0.0253705732349803	0	0	0	0.0261630401122201	0	0	0.0207274145646641	0	0	0	0.0207274145646641	0	0	0	0	0	0	0	0	0.0389105869586676	0	0	0	0	0	0	0.695366258929835	0.363549438073991	0	0	0	0	0	0.0441615155728311	0	0	0	0	0	0	0.0266143453543985	0	0	0	0	0	0	0	0	0.035260372226102	0.035383206838573	0	0	0	0	0.02971909696961	0.0320325999062432	0.0281569366614856	0.0298893501833416	0	0.0286923134493794	0.0231301736105903	0	0	0	0
fatty acid beta-oxidation	0	0	0	0	0	0.0442371931056555	0	0	0.0452862576515485	0	0.0488461587551319	0	0	0.0547031748008566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477337978729172	0.044106226214997	0	0.0424792408006329	0	0	0.0408303045319325	0.0363176576634779	0.0314648364886268	0.0423436924234619	0.0377733853551183	0	0	0	0	0	0	0	0.0377288671255013	0.0346077070892108	0.0352456519935722	0.0323271052801024	0	0	0	0	0	0	0.0313582709013547	0.036147382050802	0.030927589833968	0.0280928657113273	0.0368794904075072	0.038435260758378	0	0	0	0	0.0287686740186665	0	0	0	0	0	0	0	0	0	0.0306077831709371	0.0320685988869445	0.0319092178389762	0.0315427476911413	0	0	0.0354501462317116	0	0.570313812892701	0.485307115732065	0.0337623382772624	0.0322000458035608	0.0376839821356572	0.0378800161634969	0.0267062264065575	0.034152524567484	0.030927589833968	0	0	0	0.031644099832926	0.0263617589906958	0.017938288606704	0	0.0292085396687397	0	0	0	0	0	0.0281843712753932	0	0	0	0	0.485632440618455	0	0	0	0	0.0310180402529622	0.850481602528841	0.996645300425328	0.714198882773931	0.0264691189389205	0	0	0	0.0254311735223523	0	0	0.0248534479833656	0.0377352491639075	0	0	0	0.0258577060278031	0.0244230912889754	0.0306077831709371	0	0	0.0290493399080798	0	0.0287032566450444	0.442084044050857	0	0.0280162233404803	0.0243814811590103	0.715991496879848	0.0225168015894479	0	0	0	0.0231388307465262	0	0	0.0187825801858339	0	0	0	0.0187825801858339	0	0	0	0	0	0	0	0	0.0335529400412912	0	0	0	0	0	0	0.624861094174726	0.328472175304411	0	0	0	0	0	0.0373861802876071	0	0	0	0	0	0	0.0239938061565698	0	0	0	0	0	0	0	0	0.0308032086172802	0.030896910363899	0	0	0	0	0.0264885933539296	0.0283110496587936	0.0252404606607722	0.026623760620775	0	0.0256698277958971	0.0207343662456544	0	0	0	0
acyl-CoA metabolic process	0	0	0	0	0	0.0413633987117023	0	0	0.0416777385798739	0	0.0453658975640369	0	0	0.0503752320619915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0444048406116322	0.0412488731688881	0	0.0398224541441412	0	0	0.038369800535002	0.0343579256791164	0.029983155428322	0.0397033070231563	0.0356579755808318	0	0	0	0	0	0	0	0.0356183013881113	0.0328236388330844	0.0333969606491154	0.0307651186022056	0	0	0	0	0	0	0.0298863744594524	0.0342054921337018	0.0294949228400533	0.0269057499814208	0.0348603409964894	0.0362472150486897	0	0	0	0	0.0272688343216936	0	0	0	0	0	0	0	0	0	0.0292039195079704	0.0305308993038893	0.0303864021106755	0.0300538934622241	0	0	0.0335805095221367	0	0.535951736988041	0.460199656339485	0.0320622241465618	0.0306500191917398	0.0355782950396186	0.035752982579196	0.0254088785191832	0.032413899230659	0.0294949228400533	0	0	0	0.0301458895818441	0.0250968701128513	0.017343482075685	0	0.0279274118882619	0	0	0	0	0	0.0267433116135163	0	0	0	0	0.460492180328611	0	0	0	0	0.0295771762904544	0.807816045521289	0.714198882773931	0.998023123464925	0.85834020012858	0	0	0	0.0242520138070148	0	0	0.0237260666995351	0.0356239893173228	0	0	0	0.0248485842969204	0.0233335591473115	0.0292039195079704	0	0	0.0277818365059164	0	0.0274651308798031	0.42115329076245	0	0.0268354399780116	0.0234822891657079	0.685510981762744	0.0215874778494635	0	0	0	0.0221585701023269	0	0	0.018131481283488	0	0	0	0.018131481283488	0	0	0	0	0	0	0	0	0.0318733245925631	0	0	0	0	0	0	0.601519360156447	0.316774784218513	0	0	0	0	0	0.0353127269485229	0	0	0	0	0	0	0.0231224708718393	0	0	0	0	0	0	0	0	0.0293817771303024	0.0294670186009019	0	0	0	0	0.0254306363031707	0.0271058183384965	0.0242780445272342	0.0255551966158403	0	0.0246750349663223	0.0199437670223796	0	0	0	0
coenzyme metabolic process	0	0	0	0	0	0.0414873603073333	0	0	0.0535694707842728	0	0.0464960466364027	0	0	0.0530817339306074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0452735261046026	0.0413471943931396	0	0.0396156777883056	0	0	0.0378790100844007	0.0332177226250144	0.0283494778326705	0.0394722299151079	0.0347069794103717	0	0	0	0	0	0	0	0.0346612342069278	0.0314855901503551	0.0321296544118718	0.0292038397932756	0	0	0	0	0	0	0.0282442040298442	0.0330444092301189	0.0278194456850658	0.025051500952052	0.0337908884409599	0.0353886072204094	0	0	0	0	0.0319023778359468	0	0	0	0	0	0	0	0	0	0.0275047632878102	0.0289472272246188	0.0287892174783423	0.0284264882883895	0	0	0.0323366519181259	0	0.037871049913912	0.0316169054977142	0.0306360346052836	0.0290776600387628	0.03461512506753	0.034816601061094	0.0293857959455413	0.0310275996529361	0.0278194456850658	0	0	0	0.0285267239555538	0.0289692754966305	0.0191086674329119	0	0.0261351708630165	0	0	0	0	0	0.0311854349030467	0	0	0	0	0.0316403895330901	0	0	0	0	0.0279085589893314	0.0305023705477869	0.0264691189389205	0.85834020012858	0.991373629665129	0	0	0	0.0278494019465314	0	0	0.0271580751727193	0.034667791357174	0	0	0	0.0229024589903275	0.0266450289845073	0.0275047632878102	0	0	0.025980086239027	0	0.0256434684828935	0.0285267239555538	0	0.0249773273235427	0.021498970887559	0.0252628466092791	0.0243921025933022	0	0	0	0.0251237404487904	0	0	0.0200696753102392	0	0	0	0.0200696753102392	0	0	0	0	0	0	0	0	0.0304262865538162	0	0	0	0	0	0	0.0218080020744916	0.0206779966223324	0	0	0	0	0	0.034309529757038	0	0	0	0	0	0	0.0211324633799329	0	0	0	0	0	0	0	0	0.0276969840002048	0.0277892309885758	0	0	0	0	0.0235060905578091	0.0252628466092791	0.0223141050490392	0.0236357186004476	0	0.0227231423758804	0.0223141050490392	0	0	0	0
cellular calcium ion homeostasis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998262744863116	0.871487255304247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788099439342523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81382768483713	0	0	0
homeostatic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.871487255304247	0.993050979452465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.886203222525986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.918868268362687	0	0	0
vitamin transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356477578186238	0.322594389473258	0.275144540272611	0.252512794870856	0	0	0	0	0	0	0.322594389473258	0.307248609651114	0	0	0.213372967737289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293700855397614	0.287159899848044	0	0.239557058553482	0	0	0	0	0	0	0	0	0	0.241529500390234	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231615009282526	0.242536149691344	0.274653345217718	0	0	0	0	0	0	0	0	0	0	0	0	0	0.991313724315581	0	0.243634284582823	0.229456736075564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229456736075564	0	0	0	0	0.20695958926945	0	0	0	0	0.208625877686218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264384486484622	0.246844368148911	0	0	0	0	0	0	0	0.235063368913976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174065085544804	0	0	0	0	0	0
oxygen and reactive oxygen species metabolic process	0	0	0	0	0	0.0389929357898439	0	0	0.0494821863154405	0	0.0433855498102411	0	0	0.0490657482483794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423192510806834	0.0388690929490686	0	0.0373350596746221	0	0	0.0357886888263093	0.031599214903468	0.02716213117222	0.0372076260100399	0.0329439439889306	0	0	0	0	0	0	0	0.0329027254885307	0.0300277712850831	0.0306130201577354	0.0279454375050161	0	0	0	0	0	0	0.0270654759290776	0.0314423392942092	0.0266751861000469	0.0241198009429485	0.0321174516297438	0.0335574683222023	0	0	0	0	0.0304066247825141	0	0	0	0	0	0	0	0	0	0.0263857234522851	0.0277103744887245	0.0275655453231315	0.0272328178941235	0	0	0.0308008797198176	0	0.0357815828829808	0.0301471849844808	0.0292540986945279	0.0278298761957375	0.0328611734791171	0.0330426956043284	0.0281120056978598	0.0296109291756877	0.0266751861000469	0	0	0	0.0273247985973401	0.027730578205615	0.0185617546689327	0	0.0251227498586511	0	0	0	0	0	0.0297546470740049	0	0	0	0	0.0301685357052267	0	0	0	0	0.0267571086197914	0.0291321973594633	0.0254311735223523	0.0242520138070148	0.0278494019465314	0	0	0	0.994368897142515	0	0	0.0260665079920326	0.0329086341168153	0	0	0	0.0221212618592108	0.0255935156775188	0.0263857234522851	0	0	0.0249794148607452	0	0.0246680732584652	0.0273247985973401	0	0.0240510343850151	0.0208091433880826	0.0243156570056007	0.0235079394047768	0	0	0	0.0241867598063598	0	0	0.019467236045037	0	0	0	0.019467236045037	0	0	0	0	0	0	0	0	0.0290627874834872	0	0	0	0	0	0	0.0210985277866028	0.020039064772068	0	0	0	0	0	0.0325856393947805	0	0	0	0	0	0	0.0204655905330233	0	0	0	0	0	0	0	0	0.0265625709439335	0.0266474046052626	0	0	0	0	0.0226839104630441	0.0243156570056007	0.0215718791891512	0.0228046057301222	0	0.0219539248139786	0.0215718791891512	0	0	0	0
